contractId,customerId,organizationId,organizationName,typeNumberOfInstalments,totalNumberOfInstalments,typeContractRemaining,contractRemainingNumber,paidInstalments,dueInstalments,pastDueInstalments,balloonPayments
ca668093-07d3-4f26-89f3-ec32ab022e40,362.529.240-03,63d929c5-2a09-479e-806c-8cd073a029ab,Instituição Financeira 05,MES,360,MES,204,156,204,0,
eb69140c-1573-4ae8-8ede-3f420c8c6053,793.879.991-03,d3d2b0d5-903a-4f9f-b793-c139490d5ca7,Instituição Financeira 09,MES,36,MES,17,19,17,0,
231031b1-971b-4e07-95a5-a4066a7ad66f,927.518.283-33,69665991-da55-4aac-a1f2-32d23daba8fe,Instituição Financeira 03,MES,12,MES,2,10,2,0,
df0c2cd1-5942-4a6e-b5bf-2f3adf264ecf,181.742.477-09,f4851ca0-7163-4d71-97a7-df1e999c047f,Instituição Financeira 07,MES,120,MES,83,37,83,0,
6b5d7385-370e-4e53-97ca-94360b30b250,233.845.513-06,63d929c5-2a09-479e-806c-8cd073a029ab,Instituição Financeira 05,MES,12,MES,5,7,5,0,
7fe4985d-3a13-4722-bb9b-9531fbd0e5e4,199.647.034-21,3fda1ef5-4b72-4557-bcbf-296780ba2c1f,Instituição Financeira 01,MES,360,MES,42,318,42,0,
497b08b0-368b-47cf-82f5-fb609dfc68bb,506.244.470-74,3fda1ef5-4b72-4557-bcbf-296780ba2c1f,Instituição Financeira 01,MES,120,MES,92,28,92,0,
75e1d45c-11c0-4dee-86bf-1e46c03036d1,759.458.206-07,459b64e6-be78-4777-8b0b-f3b14e61ef31,Instituição Financeira 02,MES,240,MES,8,232,8,0,
f6fd98ba-12c3-4921-b6e0-02f6100ab336,781.636.757-89,a81729b5-ec71-4552-b4b1-26931c130154,Instituição Financeira 04,MES,12,MES,7,5,7,0,
27e5daa2-8510-44cc-9a4a-77a8f1991972,205.754.599-73,69665991-da55-4aac-a1f2-32d23daba8fe,Instituição Financeira 03,MES,360,MES,75,285,75,0,
830cfa32-f444-4579-b4e6-7900a852efe2,873.074.506-08,3506654e-b794-4818-b2b1-12f2efb03d39,Instituição Financeira 08,MES,240,MES,213,27,213,0,
9b97c3db-585a-48c5-a0bb-6e4138c55309,858.966.616-86,a81729b5-ec71-4552-b4b1-26931c130154,Instituição Financeira 04,MES,12,MES,6,6,6,0,
3298e688-8873-4570-bcf6-7d54c282a332,920.660.250-28,459b64e6-be78-4777-8b0b-f3b14e61ef31,Instituição Financeira 02,MES,24,MES,11,13,11,0,
ed9be30e-19df-4731-aa33-132c17d79390,409.519.456-29,63d929c5-2a09-479e-806c-8cd073a029ab,Instituição Financeira 05,MES,120,MES,11,109,11,0,
7e67fe50-8926-4d85-8f4e-cf243ea482c7,058.052.168-72,3fda1ef5-4b72-4557-bcbf-296780ba2c1f,Instituição Financeira 01,MES,360,MES,261,99,261,0,
d84d1603-0c03-49ed-8967-316c7746af8f,863.884.269-14,63d929c5-2a09-479e-806c-8cd073a029ab,Instituição Financeira 05,MES,120,MES,34,86,34,0,
871fdcc6-7682-4f2f-8b91-477c38e41bee,833.684.540-99,f4851ca0-7163-4d71-97a7-df1e999c047f,Instituição Financeira 07,MES,240,MES,15,225,15,0,
9e1e0b24-5e20-4a41-987c-b80d3652433c,020.365.809-11,459b64e6-be78-4777-8b0b-f3b14e61ef31,Instituição Financeira 02,MES,120,MES,47,73,47,0,
2429d66c-c013-4c17-bd47-b1b8db74a49c,242.515.499-46,3fda1ef5-4b72-4557-bcbf-296780ba2c1f,Instituição Financeira 01,MES,36,MES,3,33,3,0,
dd2eebb5-60d4-4422-a2f2-6beb26947bb8,853.431.701-97,63d929c5-2a09-479e-806c-8cd073a029ab,Instituição Financeira 05,MES,240,MES,26,214,26,0,
2323f46d-306e-4d71-ae8f-2b8cb645d0bd,281.518.068-01,3506654e-b794-4818-b2b1-12f2efb03d39,Instituição Financeira 08,MES,12,MES,3,9,3,0,
cea5dd0f-4c50-4fcb-9a46-9ba715de6be4,661.327.094-28,f4851ca0-7163-4d71-97a7-df1e999c047f,Instituição Financeira 07,MES,12,MES,11,1,11,0,
cc7e9a5d-c8f4-4878-8da8-bcb9b932f0e4,603.884.694-94,e7fc1280-4dd3-4977-bc24-c08ffea8baf5,Instituição Financeira 06,MES,12,MES,2,10,2,0,
2f943f2d-1a9d-4490-aa78-23bcb5e3ab8f,626.944.009-98,a81729b5-ec71-4552-b4b1-26931c130154,Instituição Financeira 04,MES,120,MES,69,51,69,0,
84a9d0f4-e7ea-4326-be37-44487b5de061,817.684.428-53,d3d2b0d5-903a-4f9f-b793-c139490d5ca7,Instituição Financeira 09,MES,240,MES,32,208,32,0,
dcb646cf-08d4-402d-b994-89d8b2db0323,827.813.256-54,f4851ca0-7163-4d71-97a7-df1e999c047f,Instituição Financeira 07,MES,120,MES,70,50,70,0,
5fe74b33-6337-4b52-8c10-9a4d63260f87,876.896.984-78,69665991-da55-4aac-a1f2-32d23daba8fe,Instituição Financeira 03,MES,240,MES,181,59,181,0,
17db57ce-30fa-499a-91ce-e7a46ac9e0ab,571.596.480-01,a81729b5-ec71-4552-b4b1-26931c130154,Instituição Financeira 04,MES,240,MES,220,20,220,0,
943c0468-7db4-4590-95d7-51f8354a67ed,312.738.890-33,63d929c5-2a09-479e-806c-8cd073a029ab,Instituição Financeira 05,MES,120,MES,22,98,22,0,
2a0d9f96-87c4-43bb-9fb2-a4ea56dcfffd,485.718.482-43,459b64e6-be78-4777-8b0b-f3b14e61ef31,Instituição Financeira 02,MES,240,MES,184,56,184,0,
7b66aaca-217a-444c-ac39-1ee9426c9f1c,302.311.162-07,3fda1ef5-4b72-4557-bcbf-296780ba2c1f,Instituição Financeira 01,MES,120,MES,70,50,70,0,
cdeccb5e-45d9-4710-8496-b71074aeb34b,854.825.237-29,e7fc1280-4dd3-4977-bc24-c08ffea8baf5,Instituição Financeira 06,MES,24,MES,14,10,14,0,
dd31d3f4-7abf-40d5-9478-b6dff562b3ba,525.068.150-07,69665991-da55-4aac-a1f2-32d23daba8fe,Instituição Financeira 03,MES,120,MES,86,34,86,0,
62eaf99a-6bdb-4a26-81c4-c693dd4df9e9,181.226.473-68,63d929c5-2a09-479e-806c-8cd073a029ab,Instituição Financeira 05,MES,360,MES,110,250,110,0,
df0a5965-b14b-4c59-89de-6ff503800f05,270.180.738-87,3506654e-b794-4818-b2b1-12f2efb03d39,Instituição Financeira 08,MES,240,MES,101,139,101,0,
af586165-854d-44bf-b9d7-b38b882f5a83,112.975.895-01,d3d2b0d5-903a-4f9f-b793-c139490d5ca7,Instituição Financeira 09,MES,360,MES,343,17,343,0,
32454f35-b938-4dbf-945b-fe0d114ebaff,343.644.278-86,ac2ab4c1-dc48-4958-b964-e46938817aaa,Instituição Financeira 10,MES,24,MES,21,3,21,0,
f2b015d5-8496-4277-b4dd-d35440eac927,895.494.477-55,e7fc1280-4dd3-4977-bc24-c08ffea8baf5,Instituição Financeira 06,MES,120,MES,67,53,67,0,
d7b5c147-dae6-4d91-abe2-aee8a8aee06d,875.543.757-42,d3d2b0d5-903a-4f9f-b793-c139490d5ca7,Instituição Financeira 09,MES,240,MES,146,94,146,0,
8cc10b76-c2d2-4e97-92f7-3deed588447c,756.248.980-76,3506654e-b794-4818-b2b1-12f2efb03d39,Instituição Financeira 08,MES,240,MES,154,86,154,0,
644bff82-dcb6-4c88-820f-9c49c05caeb5,332.256.817-65,459b64e6-be78-4777-8b0b-f3b14e61ef31,Instituição Financeira 02,MES,120,MES,70,50,70,0,
4f1934dc-ad73-4d2d-9ac3-ff7474f95215,143.699.586-88,a81729b5-ec71-4552-b4b1-26931c130154,Instituição Financeira 04,MES,12,MES,12,0,12,0,
9ea45386-7617-4232-bf40-25abee1edf75,558.869.411-41,459b64e6-be78-4777-8b0b-f3b14e61ef31,Instituição Financeira 02,MES,120,MES,65,55,65,0,
25ac1e41-c39d-4a6a-8c34-15d5474375b4,486.773.357-66,63d929c5-2a09-479e-806c-8cd073a029ab,Instituição Financeira 05,MES,240,MES,53,187,53,0,
8be7a6f0-fac7-41d2-8df5-6ea50cef25ae,404.796.009-71,e7fc1280-4dd3-4977-bc24-c08ffea8baf5,Instituição Financeira 06,MES,24,MES,9,15,9,0,
a6a858df-92e4-4f08-b8ce-100cd19ea13c,689.260.948-23,e7fc1280-4dd3-4977-bc24-c08ffea8baf5,Instituição Financeira 06,MES,36,MES,30,6,30,0,
001f2851-266c-4a85-9083-f08cd1bd5709,939.316.884-93,3506654e-b794-4818-b2b1-12f2efb03d39,Instituição Financeira 08,MES,240,MES,75,165,75,0,
