personalId,organizationId,customerId,brandName,civilName,socialName,birthDate,maritalStatusCode,sex,companyCnpj/0,documents/cpfNumber,documents/passportNumber,documents/passportCountry,documents/passportExpirationDate,documents/passportIssueDate,otherDocuments,hasBrazilianNationality,nationality/0/otherNationalitiesInfo,filiation,contacts/postalAddresses/0/isMain,contacts/postalAddresses/0/address,contacts/postalAddresses/0/districtName,contacts/postalAddresses/0/townName,contacts/postalAddresses/0/ibgeTownCode,contacts/postalAddresses/0/countrySubDivision,contacts/postalAddresses/0/postCode,contacts/postalAddresses/0/country,contacts/postalAddresses/0/countryCode,contacts/phones/0/isMain,contacts/phones/0/type,contacts/phones/0/additionalInfo,contacts/phones/0/countryCallingCode,contacts/phones/0/areaCode,contacts/phones/0/number,contacts/phones/0/phoneExtension,contacts/emails/0/isMain,contacts/emails/0/email
4478301e-21e7-49e5-b4a8-bb033f41dab1,63d929c5-2a09-479e-806c-8cd073a029ab,362.529.240-03,Instituição Financeira 05,Cliente 00201,Cliente 00201,2021-05-21,SEPARADO_JUDICIALMENTE,MASCULINO,00.017.498/7700-72,362.529.240-03,NA,NA,NA,NA,,false,BRA,,true,Rua 00201,Centro,Borá,3507209,SP,28266,Brasil,BRA,true,FIXO,Telefone para recados.,55,30,25266162,,true,zrvrok9Gthzc@ZoJVg.com
68261048-09eb-4547-bfe5-eac4195aee9b,d3d2b0d5-903a-4f9f-b793-c139490d5ca7,793.879.991-03,Instituição Financeira 09,Cliente 00202,Cliente 00202,2021-05-21,UNIAO_ESTAVEL,MASCULINO,00.009.921/6370-51,793.879.991-03,NA,NA,NA,NA,,false,BRA,,true,Rua 00202,Centro,Uru,3555901,SP,12574,Brasil,BRA,true,FIXO,Telefone para recados.,55,15,22359729,,true,nhwjPCMMli4q@b23Kz.com
a991cd22-8bf8-4ec7-8d0f-7830902a4dd9,69665991-da55-4aac-a1f2-32d23daba8fe,927.518.283-33,Instituição Financeira 03,Cliente 00203,Cliente 00203,2021-05-21,VIUVO,FEMININO,00.047.912/7906-49,927.518.283-33,NA,NA,NA,NA,,false,BRA,,true,Rua 00203,Centro,Uru,3555901,SP,45417,Brasil,BRA,true,FIXO,Telefone para recados.,55,16,21869983,,true,NUO0l5uRad7u@B2pTn.com
2a736423-2fab-4cea-ad5f-f8cb980e03d8,f4851ca0-7163-4d71-97a7-df1e999c047f,181.742.477-09,Instituição Financeira 07,Cliente 00204,Cliente 00204,2021-05-21,SOLTEIRO,MASCULINO,00.026.814/6240-28,181.742.477-09,NA,NA,NA,NA,,false,BRA,,true,Rua 00204,Centro,Borá,3507209,SP,46159,Brasil,BRA,true,FIXO,Telefone para recados.,55,18,21450271,,true,QJn3JCxGJ6BP@zgo2r.com
aa79da2e-4cea-4dd2-8ab3-28efc63f0117,63d929c5-2a09-479e-806c-8cd073a029ab,233.845.513-06,Instituição Financeira 05,Cliente 00205,Cliente 00205,2021-05-21,OUTRO,OUTRO,00.017.498/7700-72,233.845.513-06,NA,NA,NA,NA,,false,BRA,,true,Rua 00205,Centro,Porto Vera Cruz,4315073,RS,12761,Brasil,BRA,true,FIXO,Telefone para recados.,55,28,22035713,,true,zCVLtNhDNWxa@D6uDY.com
421d9777-d064-4d39-8549-3f781c3c679d,3fda1ef5-4b72-4557-bcbf-296780ba2c1f,199.647.034-21,Instituição Financeira 01,Cliente 00206,Cliente 00206,2021-05-21,VIUVO,NAO_DISPONIVEL,00.063.281/5749-36,199.647.034-21,NA,NA,NA,NA,,false,BRA,,true,Rua 00206,Centro,São João da Paraúna,5220058,GO,31620,Brasil,BRA,true,FIXO,Telefone para recados.,55,14,28755634,,true,YI4ICDNJpUhS@z9cUO.com
c70fa1e6-06c9-4338-98b6-40d577b5fbf6,3fda1ef5-4b72-4557-bcbf-296780ba2c1f,506.244.470-74,Instituição Financeira 01,Cliente 00207,Cliente 00207,2021-05-21,OUTRO,FEMININO,00.063.281/5749-36,506.244.470-74,NA,NA,NA,NA,,false,BRA,,true,Rua 00207,Centro,Altamira do Paraná,4100459,PR,45874,Brasil,BRA,true,FIXO,Telefone para recados.,55,18,22026619,,true,L3ih3MGNiIeH@FvcmZ.com
784e9f58-5b68-4171-bf3d-a258b6f17553,459b64e6-be78-4777-8b0b-f3b14e61ef31,759.458.206-07,Instituição Financeira 02,Cliente 00208,Cliente 00208,2021-05-21,SOLTEIRO,NAO_DISPONIVEL,00.055.102/2980-34,759.458.206-07,NA,NA,NA,NA,,false,BRA,,true,Rua 00208,Centro,Jardim Olinda,4112603,PR,43058,Brasil,BRA,true,FIXO,Telefone para recados.,55,29,20069896,,true,wJOVGSG19S20@ldi10.com
13430cf1-a1da-4ec4-8173-18a45b89aacb,a81729b5-ec71-4552-b4b1-26931c130154,781.636.757-89,Instituição Financeira 04,Cliente 00209,Cliente 00209,2021-05-21,OUTRO,OUTRO,00.087.205/9506-29,781.636.757-89,NA,NA,NA,NA,,false,BRA,,true,Rua 00209,Centro,Porto Vera Cruz,4315073,RS,32052,Brasil,BRA,true,FIXO,Telefone para recados.,55,14,24795383,,true,A0tX16yXzjle@cJMNP.com
b13e0c00-b561-401a-87f1-c7c922ff4caa,69665991-da55-4aac-a1f2-32d23daba8fe,205.754.599-73,Instituição Financeira 03,Cliente 00210,Cliente 00210,2021-05-21,CASADO,OUTRO,00.047.912/7906-49,205.754.599-73,NA,NA,NA,NA,,false,BRA,,true,Rua 00210,Centro,Cedro do Abaeté,3115607,MG,46875,Brasil,BRA,true,FIXO,Telefone para recados.,55,11,23792301,,true,c5Y5gM5hSoXC@sU0iI.com
